targetMolecule,localFile,sourceType,sheetOrPage,rowOrSection,exactMatchedValue,matchedTerm,matchType,atcCode,evidenceLevel,isPackBearing,parserSupported,warning
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,9,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,9,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,10,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,10,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,11,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,11,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,12,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,12,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,13,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,13,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,14,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,14,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,15,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,15,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,16,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,16,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,17,Paliperidon zen depinj  50mg,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,17,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,17,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,18,Paliperidon zen depinj  75mg,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,18,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,18,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,19,Paliperidon zen depinj 100mg,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,19,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,19,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,20,Paliperidon zen depinj 150mg,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,20,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,20,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,1. Innhold,1,2601c Kravspesifikasjon Bilag 3 Paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,3. Anskaffelsen,6,2601c Paliperidon Bilag 3,paliperidon,name,,document_name,true,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,3. Anskaffelsen,8,N05AX13,N05AX13,atc,N05AX13,document_atc,true,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,3. Anskaffelsen,8,Paliperidon,paliperidon,name,,document_name,true,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,4. Krav til lev.,3,2601c Bilag 3 Kravspesifikasjon Paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,5. Krav til prod.,3,2601c Bilag 3 Kravspesifikasjon Paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,5. Krav til prod.,21,N05AX13,N05AX13,atc,N05AX13,document_atc,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,5. Krav til prod.,22,Paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,5. Krav til prod.,35,Krav for Paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,Lister,7,Paliperidon,paliperidon,name,,document_name,true,false,
Paliperidone,Paliperidone__2601c/2601c_Bilag_3_Kravspesifikasjon_Paloperidon.xlsx,requirements_specification,Lister,9,Paliperidon,paliperidon,name,,document_name,true,false,
Everolimus,Everolimus__2632a/2632a Konkurransebestemmelser.pdf,competition_terms,1,molecule_term,everolimus,everolimus,name,,document_name,false,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Konkurransebestemmelser Anagrelid.pdf,competition_terms,1,molecule_term,anagrelid,anagrelid,name,,document_name,false,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Rammeavtale Anagrelid.pdf,framework_agreement,1,molecule_term,anagrelid,anagrelid,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Konkurransebestemmelser.pdf,competition_terms,1,molecule_term,paliperidon,paliperidon,name,,document_name,false,false,
Paliperidone,Paliperidone__2601c/2601c_Rammeavtale.pdf,framework_agreement,1,molecule_term,paliperidon,paliperidon,name,,document_name,false,false,
