noticeId,tenderRef,title,country,buyer,productMolecule,moleculeDetected,moleculeVariant,detectionMethod,atcCode,itemNumber,productName,strength,packSize,supplier,maxPrice,packsSoldLast12m,estimatedValue,awardedValue,awardedSupplier,currency,noticeType,status,publicationDate,contractStart,procedureType,sourceDocument,sourceUrl
682047-2022,2022/227,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",NO,SYKEHUSINNKJØP HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,362150,"Xeplion Depotinjeksjonsvæske, suspensjon 25 mg/sprøyte",25 mg,,#N/A,,0.0,,,,NOK,V,,2022-12-08,,V,2301d Vedlegg 03 Prisskjema legem versj1.xlsx,https://ted.europa.eu/en/notice/-/detail/682047-2022
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,480609,Palmeux depotinj  50mg/spr,50 mg,1.0,Amdipharm Limited,1237.43,396.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,379151,Palmeux depotinj  75mg/spr,75 mg,1.0,Amdipharm Limited,1582.91,1090.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,556066,Palmeux depotinj 100mg/spr,100 mg,1.0,Amdipharm Limited,1967.77,2028.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,122031,Palmeux depotinj 150mg/spr,150 mg,1.0,Amdipharm Limited,2749.81,1510.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,58609,Xeplion depotinj  50mg/spr,50 mg,1.0,Janssen-Cilag AS,1237.43,458.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,307903,Xeplion depotinj  75mg/spr,75 mg,1.0,Janssen-Cilag AS,,74.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,412581,Xeplion depotinj  75mg/spr,75 mg,1.0,Janssen-Cilag AS,1582.91,657.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,220132,Xeplion depotinj 100mg/spr,100 mg,1.0,Janssen-Cilag AS,,323.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,409745,Xeplion depotinj 100mg/spr,100 mg,1.0,Janssen-Cilag AS,1967.77,874.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,343892,Xeplion depotinj 150mg/spr,150 mg,1.0,Janssen-Cilag AS,,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,536460,Xeplion depotinj 150mg/spr,150 mg,1.0,Janssen-Cilag AS,2749.81,1381.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,445725,Xeplion ori depotinj 150mg/spr,150 mg,1.0,Orifarm AS,2749.81,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,536742,Paliperidon zen depinj  50mg,50 mg,1.0,Zentiva Denmark ApS,1237.43,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,549759,Paliperidon zen depinj  75mg,75 mg,1.0,Zentiva Denmark ApS,1582.91,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,47538,Paliperidon zen depinj 100mg,100 mg,1.0,Zentiva Denmark ApS,1967.77,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
434619-2026,2601c,2601c paliperidone,NO,Sykehusinnkjøp HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,392171,Paliperidon zen depinj 150mg,150 mg,1.0,Zentiva Denmark ApS,2749.81,0.0,,,,NOK,cn-standard,,,2026-11-01,,2601c_Bilag_2_Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/434619-2026
