localFile,sheet,sourceRow,targetMolecule,itemNumber,productName,rawStrength,rawPackDescription,dosageForm,gtin,rawSupplier,rawAtc,rawMolecule,volumeRaw,volumePeriodLabel,volumePeriodStart,volumePeriodEnd,priceType,maxPriceRaw,offeredGip,parserWarnings,matchedTerm,evidenceLevel,detectionMethod,volumeIsTwelveMonths,volumeInterpretationWarning,volumeEvidence,maxPriceSource,maxPriceEffectiveDate,tenderDocumentMaxAip,dmpMaxAip,priceDifference,priceDifferencePct,dmpJoinOutcome,dmpTemporalWarning,supplierExportDecision,supplierRejectionReason,packSizeValidityDecision,packSizeExportWarning,rawNoticeType,rawProcedureType
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,8,Anagrelide,39496,"Xagrid Kapsel, hard 0,5 mg","0,5 mg",0,,,,L01XX35,Anagrelid,,Pakningssalg,,,,,,invalid_zero_pack_size,anagrelid,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,dmp_current_reference,2026-08-03,,4102.51,,,exact_validated,DMP maximum AIP effective 2026-08-03 is a current-reference enrichment; not tender-time maximum price for historical procedures.,blanked,,invalid,invalid_zero_pack_size,cn-standard,open
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,9,Anagrelide,110090,"Anagrelide AOP Kapsel, hard 0,5 mg","0,5 mg",100,,,,L01XX35,Anagrelid,,Pakningssalg,,,,,,,anagrelide,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,,,,,,,no_item_match,,blanked,,valid,,cn-standard,open
Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,Prisskjema,10,Anagrelide,290239,"Anagrelide sandoz kaps 0,5mg","0,5mg",100,,,Sandoz A/S,L01XX35,Anagrelid,,Pakningssalg,,,,,,,anagrelide,document_name_and_atc,name_in_document,false,Volume period not documented; packsSoldLast12m left blank.,No explicit 12-month or calendar-year volume label in source.,,,,,,,no_item_match,,exported,,valid,,cn-standard,open
Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,Prisskjema,425,Paliperidone,214209,"Xeplion Depotinjeksjonsvæske, suspensjon 25 mg/sprøyte",25mg/spr,#N/A,,,Grossister vgr 6,N05AX13,Paliperidon,50,PAKNINGER 2021,2021-01-01,2021-12-31,,,,supplier_grouping_label_not_exported,paliperidon,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,,,,,,,no_item_match,,blanked,supplier_grouping_label_not_legal_entity,valid,,V,V
Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,Prisskjema,426,Paliperidone,362150,"Xeplion Depotinjeksjonsvæske, suspensjon 25 mg/sprøyte",25 mg/sprøyte,#N/A,,,#N/A,N05AX13,Paliperidon,0,PAKNINGER 2021,2021-01-01,2021-12-31,,,,supplier_spreadsheet_error_not_exported,paliperidon,document_name_and_atc,name_in_document,true,Calendar-year proxy PAKNINGER 2021 used as documented 12-month historical volume.,Prisskjema header PAKNINGER 2021 (full calendar year).,,,,,,,no_item_match,,blanked,spreadsheet_error_placeholder,valid,,V,V
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,5,Paliperidone,480609,Palmeux depotinj  50mg/spr,50mg/spr,1,,,Amdipharm Limited,N05AX13,Paliperidon,396,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1237.43,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1237.43,1237.43,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,6,Paliperidone,379151,Palmeux depotinj  75mg/spr,75mg/spr,1,,,Amdipharm Limited,N05AX13,Paliperidon,1090,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1582.91,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1582.91,1582.91,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,7,Paliperidone,556066,Palmeux depotinj 100mg/spr,100mg/spr,1,,,Amdipharm Limited,N05AX13,Paliperidon,2028,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1967.77,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1967.77,1967.77,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,8,Paliperidone,122031,Palmeux depotinj 150mg/spr,150mg/spr,1,,,Amdipharm Limited,N05AX13,Paliperidon,1510,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,2749.81,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,2749.81,2749.81,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,9,Paliperidone,58609,Xeplion depotinj  50mg/spr,50mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,458,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1237.43,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1237.43,1237.43,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
